corrdor_margin_perc,min_margin_perc,max_margin_perc,rpm,Count_Corridor,OriginCluster,corridor
10.67278908,-63.02337385,64.83947464,2.7687979,1081,Ontario CA Region,Ontario CA Region-Tracy Region
16.75843356,-53.66625189,63.56650768,1.501791192,1014,Tracy Region,Tracy Region-Ontario CA Region
15.42478426,-59.92100288,63.85241123,2.889168975,782,Ontario CA Region,Ontario CA Region-Phoenix Region
17.40171128,-63.68470614,64.77010054,5.495960287,761,Ontario CA Region,Ontario CA Region-Ontario CA Region
19.05502761,-64.12690798,64.84297431,2.702157079,531,Atlanta Region,Atlanta Region-Tampa Region
17.53491128,-60.92458489,64.64803803,2.57010519,501,Dallas Region,Dallas Region-Houston Region
-2.955477135,-63.9941691,51.56603164,3.167351721,472,Houston Region,Houston Region-San Antonio Region
21.04469063,-62.48085047,64.78433244,2.424391042,405,Dallas Region,Dallas Region-San Antonio Region
10.51833482,-60.00222612,63.00614322,4.801424718,381,Tracy Region,Tracy Region-Tracy Region
19.97710779,-64.93952348,63.88834667,2.832844323,360,Atlanta Region,Atlanta Region-Orlando Region
11.39274639,-60.06402561,64.28571429,6.09012984,316,Dallas Region,Dallas Region-Dallas Region
19.09064217,-63.0789302,64.39076154,1.82092965,311,Phoenix Region,Phoenix Region-Ontario CA Region
2.180232884,-64.31490952,60.78125,2.369932523,310,Houston Region,Houston Region-Dallas Region
10.88610135,-62.02859805,64.06187108,5.660313476,307,Chicago Region,Chicago Region-Chicago Region
18.63847067,-46.0458097,64.26269025,4.321584779,295,Chicago Region,Chicago Region-Milwaukee Region
18.96277526,-57.12533163,59.80117073,2.582054751,292,Atlanta Region,Atlanta Region-Miami Region
2.085126092,-57.20713395,40.10086482,2.906795541,288,Dallas Region,Dallas Region-Denver Region
13.30240107,-40.01486884,63.84545744,3.384894664,274,Chicago Region,Chicago Region-Indianapolis Region
16.1574693,-51.79401552,64.9324152,1.722491944,273,Fresno CA Region,Fresno CA Region-Ontario CA Region
-21.11833095,-64.49449576,58.87850467,2.490340316,267,Laredo Region,Laredo Region-Dallas Region
6.753078314,-62.70367013,64.76678673,3.962523253,256,Ontario CA Region,Ontario CA Region-Bakersfield CA Region
21.1576803,-31.92612137,64.11716051,3.110192689,251,Chicago Region,Chicago Region-Detroit Region
3.39297646,-51.95651177,49.08786278,3.094850145,245,Ontario CA Region,Ontario CA Region-Seattle Region
11.36750751,-42.68388386,57.78364116,1.68122163,243,Houston Region,Houston Region-Laredo Region
13.52631428,-55.2576908,54.78248497,2.640505704,241,Ontario CA Region,Ontario CA Region-Reno Region
4.523605607,-60,64.9822695,4.373286844,231,Atlanta Region,Atlanta Region-Birmingham Region
-1.352582683,-54.93146865,41.93548387,3.225335831,220,Ontario CA Region,Ontario CA Region-Portland OR Region
18.88793571,-34.9660131,63.67659879,2.573492568,215,Chicago Region,Chicago Region-Saint Louis Region
9.346407158,-58.85041179,61.29210191,2.381877298,210,Dallas Region,Dallas Region-Baton Rogue LA Region
24.31391379,-25.40083481,60,7.800391079,209,Newark Region,Newark Region-Elizabeth Region
7.731740195,-50.6170163,59.34151883,3.144065617,206,Ontario CA Region,Ontario CA Region-Las Vegas Region
2.637177681,-49.31665671,64.67205925,2.168025864,197,Detroit Region,Detroit Region-Chicago Region
22.3195502,-40.56789429,55,1.248749922,196,Dallas Region,Dallas Region-Laredo Region
13.09534283,-59.12707434,61.5503876,2.375032169,196,Chicago Region,Chicago Region-Minneapolis Region
18.36838867,-38.14815685,47.02928498,3.353048217,195,West OH Region,West OH Region-Winchester VA Region
5.151095666,-64.58196182,62.20847841,2.576341927,194,Saint Louis Region,Saint Louis Region-Chicago Region
19.68192602,-47.30639731,62.22677145,6.082863143,190,Atlanta Region,Atlanta Region-Atlanta Region
3.211101279,-54.72972973,55.17241379,2.179339242,187,Columbus OH Region,Columbus OH Region-Chicago Region
-7.49013973,-58.06666901,56.25,2.582719056,186,Savannah Region,Savannah Region-Atlanta Region
14.81470766,-43.95977985,64.96838172,2.677312177,183,Orlando Region,Orlando Region-Miami Region
12.36308193,-32.74923669,60.48009368,2.403214756,181,Louisville KY Region,Louisville KY Region-Chicago Region
-1.93144892,-61.63977309,55.45086794,3.97208626,177,Dallas Region,Dallas Region-Oklahoma City Region
25.82072312,-3.827159379,60.22148676,1.99673647,171,Chicago Region,Chicago Region-Dallas Region
6.249209452,-46.83600334,37.94898933,3.11499174,165,Ontario CA Region,Ontario CA Region-Denver Region
15.91506366,-28.57142857,57,2.151337963,163,Minneapolis Region,Minneapolis Region-Chicago Region
15.43356995,-53.13540322,64.66245954,3.358990885,159,Atlanta Region,Atlanta Region-Charlotte NC Region
6.963447916,-62.96958522,56.65742025,3.287815442,155,Ontario CA Region,Ontario CA Region-Salt Lake City Region
9.458829281,-47.61392632,64.3902439,4.0362794,154,Milwaukee Region,Milwaukee Region-Chicago Region
14.54411579,-23.7875452,63.53174764,2.843534112,152,Chicago Region,Chicago Region-Cleveland Region
7.165954617,-61.01331043,62.49341138,2.103103768,152,Dallas Region,Dallas Region-Kansas City Region
9.218553382,-57.68207352,57.17772671,2.919581578,151,Grand Rapids Region,Grand Rapids Region-Chicago Region
18.74023208,-43.54950065,61.24274611,2.927225142,150,Chicago Region,Chicago Region-Columbus OH Region
14.22948995,-54.05774084,51.66666667,2.158537754,149,Ontario CA Region,Ontario CA Region-Dallas Region
19.73235876,-58.77862595,55.36384096,2.221746619,148,Kansas City Region,Kansas City Region-Dallas Region
24.39033818,-10.30466147,55.74591227,2.184443306,147,Chicago Region,Chicago Region-Atlanta Region
8.251254414,-46.66666667,61.290608,5.779076432,147,Philadelphia Region,Philadelphia Region-Newark Region
2.952784896,-60.36191151,61.19402985,1.959725272,146,Dallas Region,Dallas Region-Atlanta Region
7.265512969,-62.93628334,52.26555041,2.292723637,145,Cincinnati Region,Cincinnati Region-Chicago Region
14.95664025,-50.38046257,60.3608113,3.817408472,140,Hazleton PA Region,Hazleton PA Region-Hartford CT Region
